Week,Event_Count,Date,altın fiyatı: (Türkiye),seçim: (Türkiye),siyasi: (Türkiye),dolar kuru: (Türkiye),zam: (Türkiye),USD_TRY,FİYAT
2018-12-31,1.0,2019-01-01,8.0,7.0,1.0,11.0,4.0,5.386549949645996,225.32
2019-01-07,5.0,,,,,,,5.41866397857666,
2019-01-14,2.0,,,,,,,5.415294075012207,
2019-01-21,,,,,,,,5.309959983825683,
2019-01-28,1.0,2019-02-01,7.0,9.0,1.0,10.0,2.0,5.2615619659423825,224.94
2019-02-04,2.0,,,,,,,5.221988010406494,
2019-02-11,,,,,,,,5.267721939086914,
2019-02-18,,,,,,,,5.301995944976807,
2019-02-25,,2019-03-01,10.0,82.0,1.0,22.0,1.0,5.315430068969727,231.86
2019-03-04,,,,,,,,5.407662010192871,
2019-03-11,,,,,,,,5.450926017761231,
2019-03-18,1.0,,,,,,,5.456511974334717,
2019-03-25,3.0,,,,,,,5.513657951354981,
2019-04-01,6.0,2019-04-01,7.0,100.0,1.0,28.0,4.0,5.590162086486816,239.39
2019-04-08,,,,,,,,5.68524808883667,
2019-04-15,,,,,,,,5.790982055664062,
2019-04-22,1.0,,,,,,,5.8661199569702145,
2019-04-29,,2019-05-01,7.0,9.0,1.0,26.0,2.0,5.9571000099182125,250.82
2019-05-06,3.0,,,,,,,6.108975982666015,
2019-05-13,,,,,,,,6.038519954681396,
2019-05-20,,,,,,,,6.081200003623962,
2019-05-27,,2019-06-01,6.0,21.0,1.0,18.0,2.0,6.020504093170166,259.5
2019-06-03,2.0,,,,,,,5.796598052978515,
2019-06-10,1.0,,,,,,,5.825259971618652,
2019-06-17,3.0,,,,,,,5.833506011962891,
2019-06-24,10.0,,,,,,,5.779947948455811,
2019-07-01,5.0,2019-07-01,7.0,2.0,1.0,20.0,3.0,5.651232051849365,259.37
2019-07-08,1.0,,,,,,,5.714300060272217,
2019-07-15,,,,,,,,5.690316009521484,
2019-07-22,1.0,,,,,,,5.689631938934326,
2019-07-29,,2019-08-01,9.0,2.0,1.0,20.0,8.0,5.602122020721436,267.59
2019-08-05,,,,,,,,5.528418064117432,
2019-08-12,,,,,,,,5.5588579177856445,
2019-08-19,2.0,,,,,,,5.6920599937438965,
2019-08-26,,2019-09-01,7.0,1.0,1.0,15.0,2.0,5.8285199165344235,277.11
2019-09-02,,,,,,,,5.745457935333252,
2019-09-09,,,,,,,,5.724683952331543,
2019-09-16,,,,,,,,5.711199951171875,
2019-09-23,,,,,,,,5.698618030548095,
2019-09-30,,2019-10-01,7.0,1.0,1.0,19.0,2.0,5.686143970489502,280.1
2019-10-07,,,,,,,,5.820882034301758,
2019-10-14,2.0,,,,,,,5.888960075378418,
2019-10-21,,,,,,,,5.791602039337159,
2019-10-28,1.0,2019-11-01,5.0,1.0,1.0,10.0,1.0,5.732699966430664,274.29
2019-11-04,,,,,,,,5.7410399436950685,
2019-11-11,,,,,,,,5.761808013916015,
2019-11-18,,,,,,,,5.7137500762939455,
2019-11-25,,2019-12-01,6.0,1.0,1.0,11.0,3.0,5.750528144836426,279.74
2019-12-02,,,,,,,,5.74426794052124,
2019-12-09,2.0,,,,,,,5.79398193359375,
2019-12-16,1.0,,,,,,,5.881356048583984,
2019-12-23,1.0,,,,,,,5.939533996582031,
2019-12-30,2.0,2020-01-01,9.0,1.0,1.0,9.0,3.0,5.949162006378174,297.91
2020-01-06,2.0,,,,,,,5.939505863189697,
2020-01-13,,,,,,,,5.871676063537597,
2020-01-20,,,,,,,,5.916702079772949,
2020-01-27,,2020-02-01,10.0,1.0,1.0,9.0,2.0,5.9518779754638675,315.32
2020-02-03,,,,,,,,5.98099193572998,
2020-02-10,4.0,,,,,,,6.018507957458496,
2020-02-17,2.0,,,,,,,6.070060062408447,
2020-02-24,2.0,2020-03-01,11.0,1.0,1.0,12.0,1.0,6.147711944580078,330.65
2020-03-02,1.0,,,,,,,6.143019962310791,
2020-03-09,,,,,,,,6.195279979705811,
2020-03-16,,,,,,,,6.425017929077148,
2020-03-23,,,,,,,,6.471721935272217,
2020-03-30,,2020-04-01,11.0,1.0,1.0,11.0,1.0,6.595485973358154,372.91
2020-04-06,,,,,,,,6.744477939605713,
2020-04-13,,,,,,,,6.825158023834229,
2020-04-20,,,,,,,,6.951219940185547,
2020-04-27,1.0,2020-05-01,8.0,2.0,1.0,12.0,2.0,6.975699996948242,386.81
2020-05-04,,,,,,,,7.086108112335205,
2020-05-11,,,,,,,,7.008922004699707,
2020-05-18,1.0,,,,,,,6.822845935821533,
2020-05-25,,,,,,,,6.787036037445068,
2020-06-01,,2020-06-01,10.0,2.0,1.0,8.0,2.0,6.7555999755859375,382.84
2020-06-08,,,,,,,,6.785860061645508,
2020-06-15,,,,,,,,6.830287837982178,
2020-06-22,1.0,,,,,,,6.8474040031433105,
2020-06-29,,2020-07-01,12.0,2.0,1.0,7.0,3.0,6.8482081413269045,413.81
2020-07-06,,,,,,,,6.856740093231201,
2020-07-13,,,,,,,,6.857424068450928,
2020-07-20,,,,,,,,6.84164400100708,
2020-07-27,,2020-08-01,21.0,2.0,1.0,15.0,1.0,6.91973991394043,471.63
2020-08-03,,,,,,,,7.025704002380371,
2020-08-10,,,,,,,,7.300596046447754,
2020-08-17,2.0,,,,,,,7.3356860160827635,
2020-08-24,1.0,,,,,,,7.350404071807861,
2020-08-31,1.0,2020-09-01,12.0,1.0,1.0,11.0,1.0,7.364429950714111,467.61
2020-09-07,,,,,,,,7.45431604385376,
2020-09-14,2.0,,,,,,,7.4946980476379395,
2020-09-21,,,,,,,,7.631247901916504,
2020-09-28,,2020-10-01,12.0,2.0,1.0,13.0,1.0,7.741428089141846,488.86
2020-10-05,2.0,,,,,,,7.819578075408936,
2020-10-12,2.0,,,,,,,7.897690010070801,
2020-10-19,1.0,,,,,,,7.87843599319458,
2020-10-26,4.0,2020-11-01,16.0,11.0,1.0,19.0,1.0,8.163864231109619,478.84
2020-11-02,1.0,,,,,,,8.418000030517579,
2020-11-09,,,,,,,,8.031867980957031,
2020-11-16,,,,,,,,7.642727947235107,
2020-11-23,1.0,,,,,,,7.859089946746826,
2020-11-30,,2020-12-01,9.0,1.0,1.0,9.0,3.0,7.817821979522705,462.72
2020-12-07,,,,,,,,7.822354030609131,
2020-12-14,,,,,,,,7.8048700332641605,
2020-12-21,,,,,,,,7.633339881896973,
2020-12-28,,2021-01-01,9.0,2.0,1.0,7.0,3.0,7.441046142578125,449.12
2021-01-04,,,,,,,,7.373006057739258,
2021-01-11,1.0,,,,,,,7.407385921478271,
2021-01-18,,,,,,,,7.4333720207214355,
2021-01-25,,,,,,,,7.382109928131103,
2021-02-01,1.0,2021-02-01,14.0,1.0,1.0,9.0,1.0,7.188973999023437,413.65
2021-02-08,,,,,,,,7.055032062530517,
2021-02-15,,,,,,,,6.9794000625610355,
2021-02-22,1.0,,,,,,,7.115719985961914,
2021-03-01,,2021-03-01,13.0,2.0,1.0,18.0,1.0,7.398612022399902,423.38
2021-03-08,,,,,,,,7.566991996765137,
2021-03-15,,,,,,,,7.477888107299805,
2021-03-22,7.0,,,,,,,7.943957996368408,
2021-03-29,,2021-04-01,10.0,1.0,1.0,11.0,1.0,8.207050132751466,464.33
2021-04-05,3.0,,,,,,,8.14314022064209,
2021-04-12,1.0,,,,,,,8.108339881896972,
2021-04-19,,,,,,,,8.152367782592773,
2021-04-26,1.0,2021-05-01,11.0,2.0,1.0,9.0,1.0,8.254434204101562,501.26
2021-05-03,1.0,,,,,,,8.291720008850097,
2021-05-10,1.0,,,,,,,8.346240234375,
2021-05-17,2.0,,,,,,,8.376433944702148,
2021-05-24,1.0,,,,,,,8.436023902893066,
2021-05-31,2.0,2021-06-01,12.0,3.0,1.0,10.0,1.0,8.59003791809082,512.01
2021-06-07,,,,,,,,8.575470161437988,
2021-06-14,,,,,,,,8.544717979431152,
2021-06-21,,,,,,,,8.700845909118652,
2021-06-28,4.0,2021-07-01,9.0,2.0,1.0,7.0,3.0,8.705143928527832,500.55
2021-07-05,1.0,,,,,,,8.677820014953614,
2021-07-12,1.0,,,,,,,8.6100679397583,
2021-07-19,,,,,,,,8.558652114868163,
2021-07-26,,2021-08-01,11.0,2.0,1.0,8.0,2.0,8.532337951660157,489.92
2021-08-02,,,,,,,,8.437756156921386,
