"Tarih","FİYAT",""
"2019-01","225.32",""
"2019-02","224.94",""
"2019-03","231.86",""
"2019-04","239.39",""
"2019-05","250.82",""
"2019-06","259.50",""
"2019-07","259.37",""
"2019-08","267.59",""
"2019-09","277.11",""
"2019-10","280.10",""
"2019-11","274.29",""
"2019-12","279.74",""
"2020-01","297.91",""
"2020-02","315.32",""
"2020-03","330.65",""
"2020-04","372.91",""
"2020-05","386.81",""
"2020-06","382.84",""
"2020-07","413.81",""
"2020-08","471.63",""
"2020-09","467.61",""
"2020-10","488.86",""
"2020-11","478.84",""
"2020-12","462.72",""
"2021-01","449.12",""
"2021-02","413.65",""
"2021-03","423.38",""
"2021-04","464.33",""
"2021-05","501.26",""
"2021-06","512.01",""
"2021-07","500.55",""
"2021-08","489.92",""
"2021-09","470.59",""
"2021-10","521.44",""
"2021-11","634.13",""
"2021-12","817.61",""
"2022-01","795.39",""
"2022-02","824.04",""
"2022-03","926.51",""
"2022-04","921.01",""
"2022-05","944.07",""
"2022-06","1018.48",""
"2022-07","998.91",""
"2022-08","1040.39",""
"2022-09","1010.29",""
"2022-10","1010.47",""
"2022-11","1047.70",""
"2022-12","1091.54",""
"2023-01","1173.95",""
"2023-02","1153.58",""
"2023-03","1201.91",""
"2023-04","1348.78",""
"2023-05","1433.73",""
"2023-06","1495.28",""
"2023-07","1689.14",""
"2023-08","1716.91",""
"2023-09","1710.53",""
"2023-10","1795.05",""
"2023-11","1868.94",""
"2023-12","1984.48",""
"2024-01","2069.67",""
"2024-02","2085.58",""
"2024-03","2394.82",""
"2024-04","2539.01",""
"2024-05","2465.24",""
"2024-06","2477.29",""
"2024-07","2562.67",""
"2024-08","2731.34",""
"2024-09","2907.12",""
"2024-10","3090.72",""
"2024-11","3076.73",""
"2024-12","3041.08",""
"","",""
"","",""
"Seri Açıklamaları","",""
"TP.MK.KUL.YTL","Külçe Altın Satış Fiyatı (TL/Gr)-Düzey","Gözlem Değeri: Orijinal Gözlem"
"","",""
"Notlar","",""
"TP.MK.KUL.YTL","Veri Kaynağı","PİYASA"
"","Etiketler","Altın, Fiyatları"
