Date,Title,Source,Keyword
2023-01-05,Turkey freezes pro-Kurdish party funds before vote - BBC,BBC News,Turkey elections
2023-04-19,Turkish elections 2023 - BBC,BBC News,Turkey elections
2024-04-01,Turkish local elections: Opposition stuns Erdogan with historic victory - BBC,BBC News,Turkey elections
2023-05-10,Turkey elections: Young voters who could decide Turkey's future - BBC,BBC News,Turkey elections
2024-04-04,Turkey reinstates pro-Kurdish election winner Zeydan after days of unrest in Van - BBC,BBC News,Turkey elections
2023-05-03,Turkey election: Erdogan rival Kilicdaroglu promises freedom and democracy - BBC,BBC News,Turkey elections
2023-05-25,Turkey election: What five more years of Erdogan would mean - BBC,BBC News,Turkey elections
2023-05-24,Turkish elections: Anti-immigrant leader endorses Erdogan challenger - BBC,BBC News,Turkey elections
2023-05-23,Turkish elections: Simple guide to Erdogan's fight to stay in power - BBC,BBC News,Turkey elections
2023-05-13,Turkey election: Opposition dares to dream of Erdogan defeat - BBC,BBC News,Turkey elections
2023-05-19,Turkey election: Why the world is watching the presidential race - BBC,BBC News,Turkey elections
2019-04-01,Turkey local elections: Setback for Erdogan in big cities - BBC,BBC News,Turkey elections
2023-04-25,Turkish mass arrests target Kurdish areas ahead of election - BBC,BBC News,Turkey elections
2023-04-27,Turkey's Erdogan falls ill on TV and cancels election rallies - BBC,BBC News,Turkey elections
2023-05-28,Turkey elections 2023: Erdogan wins five more years as Turkey's president - BBC,BBC News,Turkey elections
2023-05-08,Turkey elections: Aftershocks of anger and grief in the quake-hit nation - BBC,BBC News,Turkey elections
2019-04-03,"Turkey AK party rulers are bad losers, says election 'winner' Imamoglu - BBC",BBC News,Turkey elections
2024-03-30,Turkish vote: Battle to run Istanbul becomes key to country's future - BBC,BBC News,Turkey elections
2019-05-07,Turkey election re-run angers victorious opposition - BBC,BBC News,Turkey elections
2023-05-14,Turkey election 2023: Erdogan faces second round in race for presidency - BBC,BBC News,Turkey elections
2023-05-16,Twitter wrong to block tweets during Turkey election - Wikipedia founder - BBC,BBC News,Turkey elections
2019-04-02,Turkey election: Erdogan disputes results in major cities - BBC,BBC News,Turkey elections
2023-05-28,Turkey elections: What to expect from newly emboldened Erdogan - BBC,BBC News,Turkey elections
2023-05-25,Why Turkey's election is being closely followed in Africa - BBC,BBC News,Turkey elections
2023-05-28,Turkey presidential election decides if Erdogan should have five more years - BBC,BBC News,Turkey elections
2019-08-19,Turkey removes three top Kurdish mayors in major crackdown - BBC,BBC News,Turkey elections
2020-10-18,Northern Cyprus: Right-wing nationalist Ersin Tatar elected president - BBC,BBC News,Turkey elections
2023-05-27,Turkish election: Erdogan and Kemal Kilicdaroglu clash in final push for votes - BBC,BBC News,Turkey elections
2022-12-14,Istanbul Mayor Imamoglu faces jail for insulting public officials - BBC,BBC News,Turkey elections
2023-05-15,Turkey's presidential race to be decided in run-off - BBC,BBC News,Turkey elections
2023-05-28,Why Erdogan's victory matters for the West - BBC,BBC News,Turkey elections
2019-06-24,Erdogan's party suffers blow after Istanbul re-run poll defeat - BBC,BBC News,Turkey elections
2019-12-17,Trump administration rejects Congress vote on Armenia 'genocide' - BBC,BBC News,Turkey elections
2024-04-02,Dozens dead in Istanbul nightclub fire - BBC,BBC News,Turkey elections
2023-03-06,Turkey opposition names Kilicdaroglu as joint challenger to Erdogan - BBC,BBC News,Turkey elections
2020-01-03,Libya conflict: Turkish MPs approve bill to send troops - BBC,BBC News,Turkey elections
2024-08-16,Watch: Moment brawl breaks out in Turkish parliament - BBC,BBC News,Erdogan
2020-01-06,Libya conflict: Turkey sends troops to shore up UN-backed government - BBC,BBC News,Erdogan
2021-12-02,Why Turkey's currency crash does not worry Erdogan - BBC,BBC News,Erdogan
2020-03-05,Erdogan and Putin's tense meeting in Moscow - BBC,BBC News,Erdogan
2019-06-21,Istanbul vote re-run: Ambitious mayor takes on Erdogan's man - BBC,BBC News,Erdogan
2022-06-22,Saudi crown prince visits Turkey for first time since Khashoggi murder - BBC,BBC News,Erdogan
2023-03-17,Turkey's Erdogan seals deal on Finland joining Nato - BBC,BBC News,Erdogan
2021-04-07,Turkey coup: Top officers given life terms in mass trial - BBC,BBC News,Erdogan
2023-07-10,What is Turkey's leader Erdogan up to now? - BBC,BBC News,Erdogan
2024-02-02,Turkey Israel: 'Seven arrested for passing information to Mossad' - BBC,BBC News,Erdogan
2023-04-19,Turkish elections 2023 - BBC,BBC News,Erdogan
2024-04-01,Turkish local elections: Opposition stuns Erdogan with historic victory - BBC,BBC News,Erdogan
2020-10-15,Viewpoint: Why Turkey is flexing its muscles abroad - BBC,BBC News,Erdogan
2019-10-19,Turkey's Erdogan vows to 'crush heads' of Kurdish fighters - BBC,BBC News,Erdogan
2023-12-11,Humza Yousaf brands David Cameron 'petty' over meeting threat - BBC,BBC News,Erdogan
2023-07-11,Sweden hails historic step as Turkey backs Nato bid - BBC,BBC News,Erdogan
2023-05-10,Turkey elections: Young voters who could decide Turkey's future - BBC,BBC News,Erdogan
2020-10-24,France recalls Turkey envoy after Erdogan says Macron needs 'mental check' - BBC,BBC News,Erdogan
2019-01-08,Syria conflict: Turkey says US plea on Kurds 'unacceptable' - BBC,BBC News,Erdogan
2019-08-19,Turkey removes three top Kurdish mayors in major crackdown - BBC,BBC News,Erdogan
2024-04-04,Turkey reinstates pro-Kurdish election winner Zeydan after days of unrest in Van - BBC,BBC News,Erdogan
2019-06-24,Erdogan's party suffers blow after Istanbul re-run poll defeat - BBC,BBC News,Erdogan
2021-11-18,Turkey releases Israeli couple arrested for spying over palace photos - BBC,BBC News,Erdogan
2021-04-26,Sofagate: EU chief Ursula von der Leyen blames sexism for Turkey chair snub - BBC,BBC News,Erdogan
2021-10-23,Turkey moves to throw out US envoy and nine others - BBC,BBC News,Erdogan
2020-10-28,Charlie Hebdo: Turkey vows legal action over Erdogan cartoon - BBC,BBC News,Erdogan
2023-05-27,Turkish election: Erdogan and Kemal Kilicdaroglu clash in final push for votes - BBC,BBC News,Erdogan
2020-02-29,Syria war: Turkey says thousands of migrants have crossed to EU - BBC,BBC News,Erdogan
2023-10-11,Israel's borders explained in maps - BBC,BBC News,central bank Turkey
2024-04-05,McDonald's: Behind the fast-food firm's boycott controversy - BBC,BBC News,central bank Turkey
2021-12-16,Turkey cuts interest rates despite spiralling inflation - BBC,BBC News,central bank Turkey
2023-11-23,Turkey's central bank raises interest rates to 40% - BBC,BBC News,central bank Turkey
2019-07-06,Turkey's Erdogan fires central bank chief Murat Cetinkaya - BBC,BBC News,central bank Turkey
2021-12-02,Why Turkey's currency crash does not worry Erdogan - BBC,BBC News,central bank Turkey
2021-12-21,Turkish lira in comeback after new plan unveiled - BBC,BBC News,central bank Turkey
2020-09-20,FinCEN Files: UAE central bank failed to prevent Iran sanctions evasion - BBC,BBC News,central bank Turkey
2022-10-03,Inflation in Turkey surges to 83% - BBC,BBC News,central bank Turkey
2021-11-23,Turkish lira nose-dives 15% as president defies critics - BBC,BBC News,central bank Turkey
2022-02-05,Can tourism ease the inflation pressure in Turkey? - BBC,BBC News,central bank Turkey
2020-10-27,Turkish lira sinks amid Erdogan fury with allies - BBC,BBC News,central bank Turkey
2022-06-03,Ukraine lifts interest rate to highest in Europe - BBC,BBC News,central bank Turkey
2022-05-05,Turkey's cost of living soars nearly 70% - BBC,BBC News,central bank Turkey
2024-08-23,"Jerome Powell: Time has come for interest rate cut, says Fed boss - BBC",BBC News,central bank Turkey
2023-04-30,Khartoum branch of Sudan Central Bank in flames - BBC,BBC News,central bank Turkey
2023-07-14,Turkey's deepening economic crisis prompts Erdogan to look West - BBC,BBC News,central bank Turkey
2023-04-19,Turkish elections 2023 - BBC,BBC News,central bank Turkey
2022-03-09,"Use Russian money to rebuild Ukraine, says bank boss - BBC",BBC News,central bank Turkey
2020-05-20,Venezuela files legal claim with Bank of England over gold - BBC,BBC News,central bank Turkey
2023-05-13,Turkey election: Opposition dares to dream of Erdogan defeat - BBC,BBC News,central bank Turkey
2023-05-10,Turkey elections: Young voters who could decide Turkey's future - BBC,BBC News,central bank Turkey
2019-01-15,Turkey: Could the US damage its economy? - BBC,BBC News,central bank Turkey
2024-04-10,US inflation jumps as fuel and housing costs rise - BBC,BBC News,central bank Turkey
2023-11-14,Weak currencies force up cost of living in Sub-Saharan Africa - BBC,BBC News,central bank Turkey
2023-05-28,Turkey presidential election decides if Erdogan should have five more years - BBC,BBC News,central bank Turkey
2023-05-29,Turkish election victory for Erdogan leaves nation divided - BBC,BBC News,central bank Turkey
2021-03-25,Turkey Erdogan: Women rise up over withdrawal from Istanbul Convention - BBC,BBC News,central bank Turkey
2024-09-06,US-Turkish protester killed in West Bank as Israeli forces open fire - BBC,BBC News,central bank Turkey
2024-09-14,Funeral held for US-Turkish activist killed in West Bank - BBC,BBC News,central bank Turkey
2023-05-27,Turkish election: Erdogan and Kemal Kilicdaroglu clash in final push for votes - BBC,BBC News,central bank Turkey
2024-09-07,Aysenur Ezgi Eygi: UN urges inquiry into killing of US-Turkish protester in West Bank - BBC,BBC News,central bank Turkey
2019-12-09,Six charts that show how hard US sanctions have hit Iran - BBC,BBC News,central bank Turkey
2023-08-14,China suspends youth unemployment data after record high - BBC,BBC News,central bank Turkey
2023-01-05,Turkey freezes pro-Kurdish party funds before vote - BBC,BBC News,central bank Turkey
2023-10-13,UK explores using frozen Russian assets to fund Ukraine defence - BBC,BBC News,central bank Turkey
2023-01-10,Global recession warning as World Bank cuts economic forecast - BBC,BBC News,central bank Turkey
2021-04-15,Citigroup to exit consumer banking in 13 markets - BBC,BBC News,central bank Turkey
2023-08-16,"Cash, cars and homes seized in $735m Singapore anti-money laundering raids - BBC",BBC News,central bank Turkey
2022-05-10,Ukraine sanctions: What pain lies ahead for Russia's economy? - BBC,BBC News,central bank Turkey
2020-11-07,Afghanistan violence: Former TV presenter Yama Siawash killed - BBC,BBC News,central bank Turkey
2021-11-02,Taliban bans foreign currencies in Afghanistan - BBC,BBC News,central bank Turkey
