Kategori: Tüm kategoriler

Ay,altın fiyatı: (Türkiye),seçim: (Türkiye),siyasi: (Türkiye),dolar kuru: (Türkiye),zam: (Türkiye)
2019-01,8,7,1,11,4
2019-02,7,9,1,10,2
2019-03,10,82,1,22,1
2019-04,7,100,1,28,4
2019-05,7,9,1,26,2
2019-06,6,21,1,18,2
2019-07,7,2,1,20,3
2019-08,9,2,1,20,8
2019-09,7,1,1,15,2
2019-10,7,1,1,19,2
2019-11,5,1,1,10,1
2019-12,6,1,1,11,3
2020-01,9,1,1,9,3
2020-02,10,1,1,9,2
2020-03,11,1,1,12,1
2020-04,11,1,1,11,1
2020-05,8,2,1,12,2
2020-06,10,2,1,8,2
2020-07,12,2,1,7,3
2020-08,21,2,1,15,1
2020-09,12,1,1,11,1
2020-10,12,2,1,13,1
2020-11,16,11,1,19,1
2020-12,9,1,1,9,3
2021-01,9,2,1,7,3
2021-02,14,1,1,9,1
2021-03,13,2,1,18,1
2021-04,10,1,1,11,1
2021-05,11,2,1,9,1
2021-06,12,3,1,10,1
2021-07,9,2,1,7,3
2021-08,11,2,1,8,2
2021-09,10,2,1,10,1
2021-10,16,2,1,18,5
2021-11,28,2,1,36,5
2021-12,38,2,1,81,13
2022-01,18,2,1,35,13
2022-02,18,2,1,23,5
2022-03,20,2,2,24,10
2022-04,13,2,1,15,5
2022-05,18,2,1,28,9
2022-06,21,3,1,31,13
2022-07,17,3,1,24,9
2022-08,16,2,1,19,3
2022-09,16,2,1,19,3
2022-10,14,2,1,15,4
2022-11,16,2,1,12,3
2022-12,17,2,2,11,7
2023-01,20,4,1,10,10
2023-02,15,4,1,8,3
2023-03,19,12,2,10,6
2023-04,20,16,3,10,6
2023-05,25,95,2,17,6
2023-06,28,6,2,38,8
2023-07,24,3,1,27,20
2023-08,20,2,1,20,8
2023-09,16,2,1,16,5
2023-10,20,1,1,18,4
2023-11,17,2,2,14,4
2023-12,17,3,1,11,5
2024-01,16,5,1,10,12
2024-02,13,8,1,8,5
2024-03,19,56,1,9,4
2024-04,16,54,1,8,4
2024-05,14,4,1,6,3
2024-06,12,4,1,5,5
2024-07,13,2,1,6,8
2024-08,14,2,1,6,3
2024-09,14,2,1,5,2
2024-10,13,2,1,4,2
2024-11,13,4,1,4,2
2024-12,10,1,1,4,4
